layer,head,mean,std,min,max,median,skew,entropy
0,0,0.37199286,0.32437965,0.029411001,1.0,0.24999861,1.025607705116272,0.23793355
0,1,0.37199286,0.32437968,0.029411009,1.0,0.24999842,1.025607705116272,0.23793355
0,2,0.37199286,0.32437965,0.02941155,1.0,0.24999934,1.0256078243255615,0.23793355
0,3,0.37199283,0.32437965,0.02941153,1.0,0.24999946,1.025607943534851,0.23793355
1,0,0.37199286,0.32437965,0.029411461,1.0,0.2499978,1.0256078243255615,0.23793355
1,1,0.37199286,0.32437965,0.029410638,1.0,0.2499964,1.0256078243255615,0.23793355
1,2,0.37199286,0.32437968,0.029410323,1.0,0.24999541,1.025607705116272,0.23793355
1,3,0.37199286,0.32437968,0.029411105,1.0,0.2499973,1.025607705116272,0.23793355
2,0,0.37199286,0.32437965,0.029411111,1.0,0.24999675,1.0256078243255615,0.23793355
2,1,0.37199286,0.32437965,0.029410275,1.0,0.24999467,1.0256078243255615,0.23793355
2,2,0.37199286,0.32437965,0.029411083,1.0,0.2499962,1.0256078243255615,0.23793352
2,3,0.37199286,0.32437968,0.02941115,1.0,0.24999663,1.025607705116272,0.23793352
