layer,source_category,mean_attention,std_attention,n_edges
0,Buried,0.2874921,0.29072955,135439
0,Intermediate,0.39457467,0.32583553,90928
0,Exposed,0.45798093,0.32376397,59676
1,Buried,0.2874921,0.29072958,135439
1,Intermediate,0.39457476,0.32583553,90928
1,Exposed,0.4579808,0.323764,59676
2,Buried,0.2874921,0.29072958,135439
2,Intermediate,0.39457473,0.3258355,90928
2,Exposed,0.45798084,0.32376397,59676
3,Buried,0.28749213,0.29072955,135439
3,Intermediate,0.39457485,0.3258355,90928
3,Exposed,0.45798072,0.323764,59676
4,Buried,0.28749213,0.29072955,135439
4,Intermediate,0.39457482,0.32583553,90928
4,Exposed,0.45798072,0.323764,59676
