layer,head,mean,std,min,max,median,skew,entropy
0,0,0.35832775,0.32201838,0.02380949,1.0,0.20000009,1.0929902791976929,0.23690076
0,1,0.35832775,0.32201838,0.023809481,1.0,0.20000014,1.0929901599884033,0.23690076
0,2,0.35832775,0.32201838,0.023809444,1.0,0.20000023,1.0929902791976929,0.23690076
0,3,0.35832775,0.32201838,0.023809457,1.0,0.20000026,1.0929902791976929,0.23690076
1,0,0.35832775,0.32201838,0.023809327,1.0,0.20000109,1.0929902791976929,0.23690076
1,1,0.35832775,0.32201838,0.02380938,1.0,0.20000088,1.0929902791976929,0.23690076
1,2,0.35832775,0.32201838,0.0238095,1.0,0.20000008,1.0929902791976929,0.23690076
1,3,0.35832775,0.32201838,0.023809494,1.0,0.2000001,1.0929902791976929,0.23690076
2,0,0.35832775,0.32201838,0.02380924,1.0,0.2000012,1.0929902791976929,0.23690076
2,1,0.35832775,0.32201838,0.023809385,1.0,0.20000097,1.0929902791976929,0.23690076
2,2,0.35832775,0.32201838,0.023809286,1.0,0.20000134,1.0929902791976929,0.23690076
2,3,0.35832775,0.32201838,0.023809446,1.0,0.20000027,1.0929902791976929,0.23690076
3,0,0.35832775,0.32201838,0.02380933,1.0,0.20000105,1.0929902791976929,0.23690076
3,1,0.35832775,0.32201838,0.023809267,1.0,0.20000127,1.0929902791976929,0.23690076
3,2,0.35832775,0.32201838,0.023809185,1.0,0.20000157,1.0929902791976929,0.23690076
3,3,0.35832775,0.32201838,0.023809431,1.0,0.20000054,1.0929902791976929,0.23690076
4,0,0.35832775,0.32201838,0.023809198,1.0,0.20000112,1.0929902791976929,0.23690076
4,1,0.35832775,0.32201838,0.023809373,1.0,0.20000064,1.0929902791976929,0.23690076
4,2,0.35832775,0.32201838,0.023809265,1.0,0.20000094,1.0929902791976929,0.23690076
4,3,0.35832775,0.32201838,0.023809288,1.0,0.20000082,1.0929902791976929,0.23690076
