feature,importance,importance_std
geom_contact_count_10A,1.7741772,0.0020081913
geom_dist_to_center,0.008464296,0.00011040888
geom_radial_position,0.008089085,1.9206655e-05
atom_C,0.0054881773,3.1319934e-05
backbone_sin_psi,0.0053523383,5.2810326e-05
atom_CA,0.0049425564,1.0718271e-05
geom_3rd_nearest_dist,0.004847447,6.4146494e-05
atom_N,0.0037976503,1.1021972e-05
expasy:parallelbeta_strand,0.0030705929,5.9311224e-05
expasy:hphob_guy,0.0025956233,1.5868449e-05
geom_std_dist,0.0025412638,9.638071e-06
hbond_donors,0.0023872852,2.302566e-05
element_C,0.0018567244,2.377353e-05
expasy:beta_turnroux,0.0018417835,6.0672024e-05
backbone_cos_psi,0.0018100342,3.820074e-06
atom_CB,0.0015727481,1.571155e-05
expasy:bulkiness,0.0015571514,1.0954325e-05
geom_max_dist,0.0013947487,3.306305e-05
expasy:coilroux,0.0013828874,9.681244e-05
geom_min_dist,0.0012877584,5.9298924e-05
element_O,0.0011593899,9.246258e-06
hbond_acceptors,0.0011210243,1.7698087e-05
expasy:polaritygrantham,0.0010889968,2.5111143e-05
atom_O,0.0010325313,1.4595959e-05
geom_mean_dist,0.0008100669,6.326119e-05
element_N,0.00064400834,1.1938433e-05
residue_GLU,0.0004733006,9.525104e-06
meiler:dim_1,0.00046682358,8.190959e-06
residue_LEU,0.00030120215,1.0440666e-05
expasy:averageburied,0.00029770532,1.0775792e-05
atom_CZ,0.00025355816,8.4293696e-08
atom_CG,0.00023760398,5.528436e-06
residue_MET,0.0002301534,5.3527788e-06
atom_CE,0.00021068256,1.582488e-06
expasy:transmembranetendency,0.00018666188,2.4276309e-05
atom_OTHER,0.00018429756,6.7552514e-06
residue_ARG,0.0001442035,4.13106e-06
atom_CG2,0.00012814999,5.377207e-06
residue_ASP,0.00010893742,2.1842388e-06
atom_CE1,0.000106592975,2.68875e-06
atom_OE2,9.727478e-05,1.2417237e-06
atom_OE1,8.3208084e-05,8.4293697e-07
residue_GLY,8.267164e-05,2.417236e-06
atom_NE,7.164478e-05,2.2339154e-06
residue_VAL,6.530682e-05,1.01308415e-05
residue_ASN,6.208817e-05,9.272605e-06
atom_CE2,5.567074e-05,1.9882118e-06
residue_ALA,5.4140884e-05,2.8730936e-05
residue_TYR,5.08825e-05,2.0207197e-05
atom_CG1,4.4047832e-05,1.6568233e-06
atom_NZ,4.2120617e-05,1.334872e-06
backbone_sin_phi,3.828605e-05,4.982448e-06
atom_OD2,2.9404959e-05,1.0025085e-06
atom_OG,2.8471151e-05,1.6412637e-06
residue_TRP,2.4239222e-05,6.2835725e-06
atom_CD1,1.9053618e-05,2.2880388e-06
atom_CD2,1.8417835e-05,1.3085901e-06
atom_CD,1.6331673e-05,6.0352954e-06
atom_NE2,1.4841557e-05,7.648618e-07
atom_OD1,1.3192494e-05,4.776643e-07
atom_SD,1.180172e-05,7.1690954e-07
atom_SG,1.04904175e-05,1.030086e-06
atom_OG1,1.0033448e-05,1.5575971e-06
element_S,8.245309e-06,1.1101338e-06
residue_CYS,7.828076e-06,1.3810911e-06
atom_ND2,7.4108443e-06,4.776643e-07
atom_NE1,5.463759e-06,1.0509516e-06
atom_ND1,5.9604645e-07,3.5094266e-07
atom_CE3,5.9604645e-08,1.7547133e-07
residue_OTHER,0.0,0.0
element_OTHER,0.0,0.0
residue_SER,-4.4703484e-06,7.2020566e-07
residue_HIS,-1.980861e-05,8.4025405e-06
residue_PRO,-4.241864e-05,1.9248598e-06
residue_THR,-4.2796135e-05,1.6968177e-05
expasy:averageflexibility,-5.108118e-05,4.7026693e-05
residue_ILE,-6.5247215e-05,3.8806647e-06
residue_GLN,-6.7432724e-05,2.992657e-06
meiler:dim_4,-7.7704586e-05,1.0539783e-05
expasy:ratioside,-8.865198e-05,1.8257086e-05
backbone_cos_phi,-9.6559525e-05,5.7048424e-06
expasy:polarityzimmerman,-0.000129203,3.7880093e-06
residue_LYS,-0.00019526482,6.0329403e-06
expasy:buriedresidues,-0.00023355086,1.5566617e-05
meiler:dim_5,-0.00024106105,2.2172198e-05
b_factor,-0.00025530657,4.139079e-06
residue_PHE,-0.00026001534,1.23172995e-05
expasy:accessibleresidues,-0.0003552834,2.7797046e-06
expasy:hphob_rose,-0.0004815062,4.8847533e-06
expasy:beta_turnfasman,-0.00059388083,2.4658671e-05
meiler:dim_7,-0.00085822743,7.069028e-05
expasy:hphob_eisenberg,-0.0010567108,3.9157796e-05
expasy:totalbeta_strand,-0.0011098584,6.9689586e-06
