feature,importance_r2,importance_mae,r2_with_permuted,mae_with_permuted
geom_mean_dist,0.3669845461845398,0.06157240271568298,0.1462988257408142,0.2575400769710541
geom_nearest_dist,0.3364831209182739,0.04710458219051361,0.17680025100708008,0.2430722564458847
geom_radial_position,0.29417890310287476,0.05042986571788788,0.21910446882247925,0.24639753997325897
geom_max_dist,0.26162081956863403,0.05003342032432556,0.25166255235671997,0.24600109457969666
geom_std_dist,0.15872007608413696,0.025146186351776123,0.35456329584121704,0.22111386060714722
geom_dist_to_center,0.12970644235610962,0.023524954915046692,0.3835769295692444,0.21949262917041779
geom_3rd_nearest_dist,0.11930209398269653,0.020920559763908386,0.39398127794265747,0.21688823401927948
geom_min_dist,0.10157418251037598,0.018768310546875,0.411709189414978,0.2147359848022461
b_factor,0.06954634189605713,0.013015881180763245,0.4437370300292969,0.20898355543613434
atom_C,0.06812363862991333,0.013502508401870728,0.4451597332954407,0.20947018265724182
atom_CA,0.052843570709228516,0.010015055537223816,0.4604398012161255,0.2059827297925949
expasy:molecularweight,0.019409656524658203,0.003167971968650818,0.4938737154006958,0.1991356462240219
expasy:ratioside,0.017882883548736572,0.0023192614316940308,0.49540048837661743,0.19828693568706512
atom_O,0.014755845069885254,0.0028727203607559204,0.49852752685546875,0.19884039461612701
atom_N,0.014421164989471436,0.0028860270977020264,0.49886220693588257,0.19885370135307312
element_O,0.014211058616638184,0.0024902820587158203,0.4990723133087158,0.19845795631408691
element_C,0.01340395212173462,0.002846255898475647,0.4998794198036194,0.19881393015384674
expasy:parallelbeta_strand,0.011004090309143066,0.001838594675064087,0.5022792816162109,0.19780626893043518
expasy:beta_sheetfasman,0.010991334915161133,0.0031263381242752075,0.5022920370101929,0.1990940123796463
element_N,0.010706067085266113,0.0020791590213775635,0.5025773048400879,0.19804683327674866
expasy:bulkiness,0.010496139526367188,0.0015050917863845825,0.5027872323989868,0.19747276604175568
expasy:antiparallelbeta_strand,0.009273231029510498,0.00236724317073822,0.5040101408958435,0.19833491742610931
hbond_donors,0.0073528289794921875,0.0018147081136703491,0.5059305429458618,0.19778238236904144
expasy:hphob_guy,0.006127595901489258,0.0007746368646621704,0.5071557760238647,0.19674231112003326
expasy:refractivity,0.005373716354370117,0.0007482469081878662,0.5079096555709839,0.19671592116355896
atom_CB,0.00505673885345459,0.0010471642017364502,0.5082266330718994,0.19701483845710754
expasy:coilroux,0.004747867584228516,0.000879630446434021,0.5085355043411255,0.19684730470180511
expasy:averageburied,0.004727005958557129,0.0006489753723144531,0.5085563659667969,0.19661664962768555
expasy:polaritygrantham,0.003778696060180664,0.0011823922395706177,0.5095046758651733,0.1971500664949417
meiler:dim_7,0.0037685036659240723,0.001263439655303955,0.5095148682594299,0.19723111391067505
hbond_acceptors,0.003592967987060547,0.0008778125047683716,0.5096904039382935,0.19684548676013947
expasy:averageflexibility,0.0034983158111572266,0.0014808624982833862,0.5097850561141968,0.19744853675365448
meiler:dim_4,0.0032302141189575195,0.00021107494831085205,0.5100531578063965,0.19617874920368195
expasy:hphob_eisenberg,0.0030622482299804688,0.0005995780229568481,0.5102211236953735,0.19656725227832794
meiler:dim_6,0.0030323266983032227,0.000860750675201416,0.5102510452270508,0.1968284249305725
expasy:transmembranetendency,0.0029517412185668945,0.0007925927639007568,0.5103316307067871,0.19676026701927185
expasy:beta_turnfasman,0.002871274948120117,0.0009413659572601318,0.5104120969772339,0.19690904021263123
expasy:hphob_chothia,0.0023821592330932617,0.00039690732955932617,0.5109012126922607,0.19636458158493042
expasy:buriedresidues,0.002220630645751953,0.0008571147918701172,0.511062741279602,0.1968247890472412
atom_CD1,0.0016423463821411133,0.00031641125679016113,0.5116410255432129,0.19628408551216125
residue_LEU,0.0016400814056396484,0.0005089789628982544,0.5116432905197144,0.19647665321826935
expasy:hphob_rose,0.001441359519958496,0.0008642077445983887,0.5118420124053955,0.19683188199996948
expasy:beta_sheetroux,0.0013728141784667969,-3.069639205932617e-05,0.5119105577468872,0.19593697786331177
expasy:isoelectric_points,0.0013728141784667969,0.00028201937675476074,0.5119105577468872,0.19624969363212585
meiler:dim_5,0.0013363957405090332,0.00017890334129333496,0.511946976184845,0.19614657759666443
expasy:totalbeta_strand,0.0013232231140136719,0.0005433410406112671,0.5119601488113403,0.19651101529598236
atom_CG,0.001263260841369629,0.0001684427261352539,0.5120201110839844,0.19613611698150635
residue_PHE,0.0012173652648925781,0.00010961294174194336,0.5120660066604614,0.19607728719711304
residue_GLU,0.0011069774627685547,0.0001623779535293579,0.5121763944625854,0.19613005220890045
expasy:accessibleresidues,0.0008585453033447266,0.000756680965423584,0.5124248266220093,0.19672435522079468
expasy:hphob_woods,0.000775456428527832,0.000525549054145813,0.5125079154968262,0.1964932233095169
