feature1,feature2,correlation
geom_min_dist,geom_nearest_dist,1.0
expasy:totalbeta_strand,expasy:beta_sheetroux,0.9659426014549888
expasy:transmembranetendency,expasy:polaritygrantham,-0.9515512793601706
meiler:dim_4,expasy:polaritygrantham,-0.9514793854870055
expasy:totalbeta_strand,expasy:beta_sheetfasman,0.9507698343787486
expasy:totalbeta_strand,expasy:antiparallelbeta_strand,0.9486917670076771
meiler:dim_4,expasy:transmembranetendency,0.938371527404477
expasy:beta_sheetfasman,expasy:beta_sheetroux,0.9361469140312305
expasy:hphob_woods,expasy:transmembranetendency,-0.9331183509050195
expasy:hphob_rose,expasy:transmembranetendency,0.9313787582162302
expasy:hphob_eisenberg,expasy:hphob_janin,0.9300205712566824
expasy:hphob_rose,expasy:hphob_guy,-0.9277463247363017
geom_mean_dist,geom_3rd_nearest_dist,0.9248712192972751
meiler:dim_4,expasy:hphob_woods,-0.9238608080915983
meiler:dim_4,expasy:hphob_rose,0.9216868155686678
expasy:antiparallelbeta_strand,expasy:beta_sheetfasman,0.9201274177248209
expasy:hphob_janin,expasy:hphob_chothia,0.9190442073921742
expasy:molecularweight,expasy:refractivity,0.9150930402185525
meiler:dim_5,expasy:isoelectric_points,0.9079614245448356
expasy:hphob_eisenberg,expasy:hphob_chothia,0.9047312408573576
meiler:dim_4,expasy:hphob_eisenberg,0.9042762041974511
expasy:hphob_eisenberg,expasy:transmembranetendency,0.9019718147395275
geom_max_dist,geom_3rd_nearest_dist,0.9014260241337537
expasy:hphob_eisenberg,expasy:hphob_guy,-0.9010656682153828
expasy:hphob_woods,expasy:polaritygrantham,0.9010288089627951
meiler:dim_4,expasy:hphob_guy,-0.9006618961986655
geom_mean_dist,geom_max_dist,0.9005740284372794
expasy:hphob_janin,expasy:hphob_rose,0.8958933040028512
expasy:hphob_rose,expasy:polaritygrantham,-0.8944929531540687
meiler:dim_1,meiler:dim_7,0.8920188622892457
expasy:hphob_guy,expasy:transmembranetendency,-0.89125562978727
geom_dist_to_center,geom_radial_position,0.8892825118109112
expasy:hphob_guy,expasy:hphob_chothia,-0.8862702914323272
expasy:hphob_janin,expasy:transmembranetendency,0.8838925728445874
expasy:parallelbeta_strand,expasy:beta_sheetroux,0.8829123005335964
expasy:hphob_janin,expasy:hphob_guy,-0.8814510008097834
expasy:hphob_rose,expasy:hphob_chothia,0.8806202658503967
expasy:totalbeta_strand,expasy:beta_turnroux,-0.8781792102983801
expasy:antiparallelbeta_strand,expasy:beta_sheetroux,0.8769933341869938
geom_mean_dist,geom_nearest_dist,0.876497828198211
geom_mean_dist,geom_min_dist,0.876497828198211
expasy:averageburied,expasy:refractivity,0.8737557872058405
meiler:dim_1,expasy:bulkiness,0.8704946125482818
expasy:hphob_eisenberg,expasy:hphob_woods,-0.8647866247927383
expasy:transmembranetendency,expasy:hphob_chothia,0.8628290745287566
meiler:dim_7,expasy:beta_sheetroux,0.8616495196529496
expasy:beta_turnfasman,expasy:coilroux,0.8615263828521098
meiler:dim_7,expasy:totalbeta_strand,0.8591396632956415
expasy:hphob_rose,expasy:hphob_woods,-0.8590604734385354
meiler:dim_4,expasy:hphob_janin,0.8538889333089392
expasy:hphob_woods,expasy:polarityzimmerman,0.8523704657427303
expasy:beta_sheetroux,expasy:beta_turnroux,-0.8480679421908239
expasy:hphob_guy,expasy:hphob_woods,0.8477391676442323
expasy:totalbeta_strand,expasy:parallelbeta_strand,0.8453069760653676
expasy:hphob_eisenberg,expasy:hphob_rose,0.8428302806925768
atom_N,element_N,0.8419667732143867
meiler:dim_7,expasy:beta_sheetfasman,0.8404844470011831
expasy:beta_turnfasman,expasy:beta_turnroux,0.8375160691742785
expasy:hphob_guy,expasy:polaritygrantham,0.8341475974122975
meiler:dim_6,expasy:coilroux,-0.8321931652819556
expasy:hphob_eisenberg,expasy:polaritygrantham,-0.8290675385502904
expasy:parallelbeta_strand,expasy:hphob_chothia,0.828667543173095
expasy:antiparallelbeta_strand,expasy:beta_turnroux,-0.8265026036315438
meiler:dim_4,expasy:hphob_chothia,0.8261746336775918
expasy:polaritygrantham,expasy:beta_sheetfasman,-0.821117663848352
expasy:hphob_janin,expasy:hphob_woods,-0.8204374474545015
expasy:transmembranetendency,expasy:polarityzimmerman,-0.8150730989482026
meiler:dim_7,expasy:antiparallelbeta_strand,0.8125329148313595
meiler:dim_1,expasy:beta_turnroux,-0.8116673361709219
expasy:transmembranetendency,expasy:beta_sheetfasman,0.8093796964619621
expasy:totalbeta_strand,expasy:polaritygrantham,-0.8071204006159198
expasy:hphob_rose,expasy:totalbeta_strand,0.8055179920129267
