epoch,train_loss,val_loss,val_mae,val_rmse,learning_rate
1,0.226536,0.114574,0.240199,0.304461,0.00012000
2,0.126473,0.102110,0.226268,0.289933,0.00015150
3,0.108194,0.081465,0.209667,0.266738,0.00024464
4,0.093945,0.081256,0.206204,0.262984,0.00039533
5,0.087879,0.076709,0.201314,0.254873,0.00059698
6,0.083379,0.074827,0.201023,0.255115,0.00084076
7,0.080925,0.074936,0.208493,0.261082,0.00111602
8,0.078513,0.070890,0.200093,0.250066,0.00141071
9,0.077457,0.077001,0.212533,0.263691,0.00171192
10,0.076819,0.072236,0.196850,0.248056,0.00200649
11,0.075659,0.069936,0.198744,0.247381,0.00228153
12,0.074688,0.080194,0.220664,0.271439,0.00252499
13,0.074180,0.070004,0.199664,0.250530,0.00272623
14,0.074216,0.073113,0.199012,0.249417,0.00287644
15,0.073435,0.072592,0.205944,0.254142,0.00296904
16,0.072861,0.071460,0.203040,0.253540,0.00300000
17,0.072573,0.073439,0.205868,0.257448,0.00299959
18,0.072366,0.071396,0.200672,0.247897,0.00299836
19,0.071890,0.070916,0.196192,0.245141,0.00299632
20,0.071459,0.080948,0.221152,0.275963,0.00299348
21,0.071402,0.070916,0.193491,0.245924,0.00298982
22,0.070935,0.073994,0.211946,0.260628,0.00298536
23,0.070738,0.079181,0.218222,0.270374,0.00298009
24,0.070560,0.070666,0.200985,0.249724,0.00297402
25,0.071069,0.076633,0.213719,0.266439,0.00296716
26,0.070611,0.068102,0.194552,0.242753,0.00295950
27,0.070379,0.067393,0.194160,0.246360,0.00295105
28,0.070245,0.068961,0.198600,0.247634,0.00294181
29,0.069869,0.073079,0.194891,0.247873,0.00293179
30,0.069824,0.071394,0.203589,0.253535,0.00292100
31,0.070089,0.070077,0.193585,0.243521,0.00290943
32,0.069492,0.072766,0.196435,0.246827,0.00289711
33,0.069846,0.076915,0.211010,0.266506,0.00288403
34,0.069668,0.068008,0.198131,0.246346,0.00287019
35,0.069426,0.067665,0.195232,0.244410,0.00285562
36,0.069164,0.066396,0.190272,0.242106,0.00284031
37,0.068944,0.072518,0.203629,0.259442,0.00282428
38,0.069051,0.068737,0.195641,0.243366,0.00280753
39,0.069190,0.066238,0.190996,0.243581,0.00279007
40,0.068850,0.067187,0.193381,0.244364,0.00277191
41,0.068904,0.066616,0.195181,0.244481,0.00275306
42,0.068709,0.069850,0.202010,0.252506,0.00273354
43,0.068683,0.070557,0.193977,0.245680,0.00271335
44,0.068530,0.072091,0.198288,0.255426,0.00269250
45,0.068733,0.069145,0.190899,0.242053,0.00267100
46,0.068494,0.069826,0.200504,0.253036,0.00264887
47,0.068454,0.068159,0.195649,0.243955,0.00262612
48,0.068363,0.070046,0.191957,0.245091,0.00260276
49,0.068137,0.068870,0.192467,0.242712,0.00257880
50,0.068464,0.069925,0.200930,0.254098,0.00255426
51,0.067950,0.065476,0.189548,0.240155,0.00252914
52,0.067844,0.072432,0.206971,0.258116,0.00250347
53,0.068230,0.066366,0.194112,0.243782,0.00247726
54,0.067833,0.065801,0.190382,0.238967,0.00245051
55,0.067843,0.067770,0.191873,0.241704,0.00242325
56,0.067666,0.066786,0.192710,0.241293,0.00239549
57,0.067653,0.065516,0.189051,0.240621,0.00236725
58,0.067802,0.066993,0.192981,0.241623,0.00233854
59,0.067674,0.067329,0.188396,0.240835,0.00230937
60,0.067386,0.074763,0.209191,0.264383,0.00227977
61,0.067539,0.065140,0.188112,0.238510,0.00224974
62,0.067430,0.073621,0.207238,0.261855,0.00221930
63,0.067679,0.066565,0.190004,0.239723,0.00218848
64,0.067010,0.064925,0.187558,0.237639,0.00215728
65,0.067210,0.075854,0.209987,0.264267,0.00212573
66,0.067555,0.074399,0.211998,0.263626,0.00209384
67,0.066910,0.066935,0.194953,0.243092,0.00206163
68,0.066843,0.080735,0.217093,0.276080,0.00202911
69,0.067156,0.067724,0.191171,0.240214,0.00199631
70,0.066745,0.070433,0.198023,0.248030,0.00196324
71,0.067251,0.066300,0.188659,0.237828,0.00192992
72,0.067071,0.067955,0.198380,0.248821,0.00189636
73,0.066635,0.069098,0.199226,0.250320,0.00186259
74,0.066409,0.065983,0.194901,0.244843,0.00182862
75,0.066581,0.066110,0.193139,0.246195,0.00179448
76,0.066337,0.065354,0.188077,0.237757,0.00176018
77,0.066869,0.067445,0.190829,0.243160,0.00172573
78,0.066246,0.064784,0.189450,0.238037,0.00169116
79,0.066357,0.065881,0.187981,0.239305,0.00165649
80,0.066091,0.067678,0.196934,0.246919,0.00162174
81,0.066559,0.064561,0.185386,0.238531,0.00158692
82,0.066243,0.066164,0.186233,0.237818,0.00155205
83,0.065839,0.064181,0.187136,0.238315,0.00151715
84,0.066234,0.064654,0.190483,0.239033,0.00148225
85,0.065841,0.063793,0.189796,0.240418,0.00144735
86,0.066236,0.063966,0.187838,0.236970,0.00141248
87,0.065866,0.064945,0.191621,0.239492,0.00137766
88,0.065818,0.063404,0.187490,0.236282,0.00134291
89,0.065710,0.066172,0.186715,0.241973,0.00130824
90,0.065538,0.062701,0.185066,0.235562,0.00127368
91,0.065634,0.063549,0.187078,0.235708,0.00123923
