epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
1,0.116877,0.038124,0.717618,0.146392,0.187904,0.00008000
2,0.054877,0.032321,0.769065,0.128174,0.169927,0.00008758
3,0.039782,0.032661,0.764981,0.129511,0.171423,0.00011018
4,0.032132,0.033415,0.762282,0.131276,0.172405,0.00014746
5,0.027970,0.028934,0.790402,0.120538,0.161887,0.00019883
6,0.025293,0.027080,0.798569,0.116066,0.158702,0.00026347
7,0.023329,0.027035,0.802857,0.116198,0.157003,0.00034036
8,0.022118,0.020835,0.845762,0.098009,0.138872,0.00042830
9,0.021016,0.020973,0.840055,0.096644,0.141417,0.00052589
10,0.020356,0.022943,0.829650,0.104124,0.145945,0.00063160
11,0.019723,0.020331,0.849921,0.095619,0.136986,0.00074375
12,0.019386,0.019484,0.854572,0.091964,0.134847,0.00086057
13,0.019238,0.020918,0.837999,0.096486,0.142323,0.00098023
14,0.018673,0.021282,0.847860,0.100625,0.137924,0.00110083
15,0.018808,0.019903,0.851873,0.094964,0.136093,0.00122047
16,0.018517,0.020027,0.850052,0.096098,0.136927,0.00133726
17,0.018412,0.021705,0.837020,0.100705,0.142753,0.00144936
18,0.018527,0.020027,0.846255,0.092492,0.138650,0.00155500
19,0.018049,0.019439,0.856998,0.093210,0.133718,0.00165251
20,0.018132,0.019037,0.854810,0.090701,0.134737,0.00174036
21,0.018007,0.022838,0.825312,0.107269,0.147792,0.00181715
22,0.018166,0.021233,0.839817,0.098742,0.141523,0.00188168
23,0.017793,0.019018,0.853673,0.089772,0.135263,0.00193293
24,0.017907,0.019189,0.852786,0.091540,0.135672,0.00197008
25,0.017599,0.019174,0.852537,0.090857,0.135787,0.00199256
26,0.017660,0.019864,0.851786,0.096063,0.136133,0.00200000
27,0.017532,0.020107,0.848788,0.095049,0.137502,0.00199984
28,0.017475,0.019364,0.854898,0.094672,0.134696,0.00199935
29,0.017446,0.019472,0.853627,0.092985,0.135285,0.00199854
30,0.017468,0.021673,0.832959,0.098274,0.144520,0.00199741
31,0.017285,0.019507,0.850876,0.092304,0.136550,0.00199596
32,0.017347,0.021252,0.834858,0.094595,0.143696,0.00199419
33,0.017278,0.018900,0.854333,0.089329,0.134958,0.00199209
34,0.017022,0.019637,0.848842,0.091426,0.137478,0.00198968
35,0.016955,0.019363,0.855083,0.093013,0.134610,0.00198695
36,0.017003,0.020429,0.842678,0.094185,0.140253,0.00198390
37,0.016812,0.019672,0.851460,0.094024,0.136282,0.00198057
38,0.016978,0.022896,0.828738,0.105140,0.146335,0.00197689
39,0.016912,0.019029,0.855326,0.091007,0.134497,0.00197289
40,0.017023,0.020717,0.843837,0.097757,0.139736,0.00196858
41,0.016904,0.022377,0.829311,0.100951,0.146090,0.00196396
42,0.016911,0.024474,0.809966,0.111563,0.154147,0.00195903
43,0.016932,0.018543,0.857331,0.088694,0.133562,0.00195379
44,0.016894,0.021435,0.836694,0.100142,0.142896,0.00194824
45,0.016643,0.018983,0.856060,0.090921,0.134155,0.00194239
46,0.016822,0.019033,0.854182,0.091058,0.135028,0.00193624
47,0.016661,0.021567,0.832934,0.102454,0.144531,0.00192978
48,0.016826,0.018986,0.855990,0.092116,0.134188,0.00192302
49,0.016844,0.020558,0.843308,0.097066,0.139972,0.00191596
50,0.016705,0.021530,0.832312,0.097732,0.144800,0.00190861
51,0.016622,0.026401,0.800289,0.118569,0.158023,0.00190104
52,0.016597,0.022380,0.829839,0.102851,0.145864,0.00189311
53,0.016488,0.026108,0.796751,0.119437,0.159416,0.00188489
54,0.016600,0.026390,0.793586,0.116426,0.160652,0.00187638
55,0.016613,0.019130,0.854902,0.091664,0.134694,0.00186760
56,0.016572,0.018630,0.858197,0.088832,0.133156,0.00185853
57,0.016570,0.021418,0.835053,0.100288,0.143612,0.00184919
58,0.016686,0.018834,0.856996,0.090456,0.133719,0.00183957
59,0.016482,0.019487,0.852082,0.092791,0.135997,0.00182968
60,0.016483,0.019291,0.851004,0.090464,0.136491,0.00181953
61,0.016356,0.025231,0.802946,0.115994,0.156968,0.00180911
62,0.016696,0.022545,0.828739,0.104363,0.146335,0.00179843
63,0.016468,0.020303,0.842494,0.096327,0.140335,0.00178749
64,0.016582,0.018927,0.854880,0.090459,0.134704,0.00177630
65,0.016533,0.019214,0.854916,0.091979,0.134687,0.00176486
66,0.016348,0.019506,0.848940,0.091539,0.137433,0.00175318
67,0.016477,0.021725,0.831357,0.101609,0.145212,0.00174125
68,0.016513,0.020288,0.850448,0.096615,0.136746,0.00172908
69,0.016486,0.020803,0.839108,0.099938,0.141836,0.00171667
70,0.016634,0.019000,0.854620,0.090838,0.134825,0.00170415
71,0.016511,0.018782,0.855384,0.091206,0.134470,0.00169129
72,0.016396,0.022879,0.821815,0.105198,0.149263,0.00167821
73,0.016434,0.021452,0.833378,0.101258,0.144339,0.00166491
74,0.016318,0.019890,0.845617,0.091955,0.138937,0.00165139
75,0.016628,0.018931,0.854426,0.089656,0.134915,0.00163767
76,0.016518,0.018790,0.856393,0.089660,0.134000,0.00162374
77,0.016274,0.023541,0.823703,0.107857,0.148471,0.00160961
78,0.016428,0.020350,0.843079,0.098054,0.140074,0.00159528
