feature,importance,importance_std
geom_contact_count_10A,1.4928932,0.00071532355
geom_dist_to_center,0.25833744,0.0004221174
geom_radial_position,0.020934245,5.9830403e-05
geom_max_dist,0.01909244,0.00012962858
geom_mean_dist,0.013301392,7.262257e-05
b_factor,0.012210826,2.8836592e-05
geom_3rd_nearest_dist,0.008214791,4.1874042e-05
atom_C,0.00673004,1.984601e-05
atom_CA,0.0059045157,4.0765203e-06
geom_min_dist,0.0054834285,5.5809604e-05
element_C,0.0043723583,2.6736432e-05
atom_N,0.0031431317,3.588678e-05
geom_std_dist,0.0025892456,1.9649313e-05
backbone_sin_psi,0.0019313693,3.6357205e-06
atom_CB,0.0017789006,2.3783125e-05
hbond_donors,0.001761218,1.7140272e-05
atom_O,0.0014489492,1.5651893e-05
element_N,0.0013281902,1.64104e-05
element_O,0.0011260113,6.779425e-05
hbond_acceptors,0.0010828773,1.2964189e-05
expasy:hphob_guy,0.0010409951,1.1735003e-05
backbone_cos_phi,0.0009688139,3.0174593e-05
expasy:totalbeta_strand,0.00083659095,1.2678132e-05
expasy:polaritygrantham,0.0007848938,9.218166e-06
backbone_cos_psi,0.0006791552,9.808099e-06
expasy:bulkiness,0.00054808456,1.9891486e-05
expasy:beta_turnfasman,0.00048311552,1.39538815e-05
meiler:dim_7,0.00037856898,1.0559428e-05
atom_CZ,0.00033108392,3.112532e-06
expasy:averageburied,0.0003052751,1.6177974e-05
atom_OTHER,0.00026200214,5.670557e-06
meiler:dim_4,0.0002441605,2.9379441e-06
atom_CE,0.00023672979,7.2316484e-06
backbone_sin_phi,0.00020823877,2.1175807e-05
expasy:ratioside,0.00018082063,1.2651951e-05
atom_CG,0.00017545621,8.154347e-06
meiler:dim_5,0.00017080705,2.1359561e-05
expasy:buriedresidues,0.00016780694,1.1568659e-05
atom_CE1,0.00015459459,6.677198e-06
expasy:parallelbeta_strand,0.00014281273,4.4924136e-06
residue_TRP,0.00014162064,4.9441924e-06
atom_OE1,0.00013128917,6.836514e-07
atom_OE2,0.00012866656,1.3981352e-06
atom_CD,0.00012425582,8.416481e-06
residue_LYS,0.0001238982,7.545947e-06
expasy:beta_turnroux,0.00012187163,4.927718e-06
expasy:accessibleresidues,9.4791256e-05,5.4492543e-06
expasy:transmembranetendency,9.196997e-05,5.9167933e-06
atom_CD1,9.1294445e-05,4.6252417e-06
atom_OG,9.047985e-05,1.5196263e-06
expasy:hphob_eisenberg,7.889668e-05,3.285052e-06
atom_NE,7.6413155e-05,3.192421e-06
residue_LEU,7.591645e-05,6.281122e-06
atom_OG1,6.510814e-05,3.268427e-06
atom_CE2,6.222725e-05,2.7884953e-06
atom_CG2,6.0737133e-05,4.415842e-06
atom_NZ,5.690257e-05,2.1404255e-06
expasy:coilroux,4.8995018e-05,4.3605187e-06
residue_GLU,4.7643978e-05,1.3958718e-05
expasy:polarityzimmerman,4.0253002e-05,6.8441313e-06
meiler:dim_1,3.7868816e-05,4.600082e-06
residue_GLY,3.7868816e-05,1.2218547e-06
residue_SER,3.0914944e-05,2.998587e-06
atom_CD2,2.9702982e-05,4.430122e-06
residue_ALA,2.7279058e-05,3.4523846e-06
atom_NE2,2.5808811e-05,2.3846824e-06
expasy:hphob_rose,2.3404757e-05,3.6001513e-06
atom_CG1,2.2133192e-05,3.6400609e-06
atom_SD,1.7563501e-05,9.615067e-07
residue_THR,1.5556812e-05,4.6727914e-06
residue_ILE,1.5477339e-05,8.234122e-06
residue_VAL,1.3113022e-05,2.2951012e-06
residue_PRO,9.437402e-06,2.2015201e-06
atom_OD2,8.841355e-06,1.1207504e-06
atom_SG,6.655852e-06,2.1982903e-06
element_S,6.45717e-06,5.9902586e-06
atom_NE1,5.940596e-06,5.640614e-07
atom_ND2,3.9339066e-06,3.3082815e-06
atom_OD1,3.0398369e-06,1.312205e-06
residue_MET,1.1920929e-06,1.4329928e-06
atom_CE3,7.947286e-07,2.4006854e-07
residue_ARG,3.3775964e-07,6.2533454e-06
atom_ND1,1.5894572e-07,8.278159e-07
residue_OTHER,0.0,0.0
element_OTHER,0.0,0.0
residue_GLN,0.0,5.1483603e-06
expasy:averageflexibility,-1.390775e-07,6.0746725e-06
residue_CYS,-9.338061e-07,7.434005e-08
residue_ASP,-5.841255e-06,3.32969e-06
residue_PHE,-6.0796738e-06,2.3861717e-06
residue_ASN,-8.205573e-06,4.8011243e-06
residue_HIS,-8.384387e-06,1.3716265e-06
residue_TYR,-9.397666e-06,6.1817295e-06
