epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
1,0.175761,0.048653,0.635552,0.174362,0.213469,0.00004000
2,0.094342,0.036947,0.729244,0.141608,0.183995,0.00004193
3,0.067558,0.035609,0.746304,0.136101,0.178104,0.00004772
4,0.052403,0.038021,0.731405,0.141869,0.183260,0.00005731
5,0.043027,0.037176,0.734556,0.140464,0.182181,0.00007062
6,0.036926,0.037987,0.733846,0.141585,0.182425,0.00008756
7,0.032905,0.033393,0.762021,0.131949,0.172499,0.00010798
8,0.029963,0.032506,0.767284,0.129950,0.170581,0.00013172
9,0.027730,0.031457,0.774298,0.127479,0.167991,0.00015858
10,0.026025,0.027320,0.799196,0.116603,0.158454,0.00018836
11,0.024678,0.024749,0.820998,0.108473,0.149605,0.00022081
12,0.023627,0.021545,0.842842,0.099267,0.140180,0.00025567
13,0.022927,0.020854,0.845608,0.096624,0.138941,0.00029266
14,0.022041,0.022918,0.830202,0.103469,0.145708,0.00033148
15,0.021539,0.022984,0.827905,0.103671,0.146691,0.00037182
16,0.021126,0.021806,0.837634,0.100117,0.142484,0.00041335
17,0.020673,0.020075,0.847232,0.093222,0.138208,0.00045574
18,0.020311,0.021100,0.841519,0.097418,0.140769,0.00049865
19,0.020133,0.019825,0.849672,0.092925,0.137100,0.00054173
20,0.019753,0.020585,0.846159,0.098626,0.138693,0.00058464
21,0.019589,0.019833,0.849690,0.094671,0.137092,0.00062702
22,0.019487,0.019587,0.849967,0.092196,0.136965,0.00066854
23,0.019360,0.019710,0.852201,0.092737,0.135942,0.00070887
24,0.019010,0.019168,0.855258,0.092258,0.134529,0.00074768
25,0.019040,0.020448,0.841009,0.092162,0.140995,0.00078465
26,0.018990,0.019832,0.849154,0.095238,0.137336,0.00081949
27,0.018812,0.019661,0.850428,0.093748,0.136755,0.00085191
28,0.018748,0.020054,0.847847,0.095751,0.137930,0.00088167
29,0.018812,0.021401,0.839723,0.099311,0.141564,0.00090851
30,0.018532,0.021809,0.834862,0.099441,0.143695,0.00093222
31,0.018314,0.019906,0.849881,0.094257,0.137005,0.00095261
32,0.018293,0.020791,0.839141,0.092272,0.141821,0.00096951
33,0.018497,0.018928,0.855631,0.089975,0.134355,0.00098279
34,0.018029,0.019982,0.845686,0.092404,0.138906,0.00099235
35,0.017881,0.020050,0.852361,0.096159,0.135869,0.00099810
36,0.017893,0.020024,0.844735,0.092390,0.139333,0.00100000
37,0.017693,0.019707,0.849991,0.094639,0.136954,0.00099991
38,0.017973,0.019449,0.850119,0.090436,0.136896,0.00099964
39,0.017719,0.020849,0.839092,0.097377,0.141843,0.00099918
40,0.017869,0.021040,0.842045,0.098687,0.140535,0.00099855
41,0.017686,0.019092,0.853327,0.089664,0.135423,0.00099774
42,0.017692,0.019227,0.853751,0.090609,0.135227,0.00099674
43,0.017728,0.019032,0.853854,0.091292,0.135180,0.00099557
44,0.017509,0.020982,0.841478,0.098095,0.140787,0.00099421
45,0.017388,0.022253,0.826809,0.101713,0.147157,0.00099268
46,0.017566,0.018992,0.854339,0.089681,0.134955,0.00099096
47,0.017365,0.019159,0.853645,0.093054,0.135276,0.00098909
48,0.017599,0.021292,0.834427,0.097923,0.143884,0.00098702
49,0.017581,0.020105,0.847469,0.095018,0.138101,0.00098478
50,0.017402,0.020123,0.843958,0.093507,0.139681,0.00098236
51,0.017304,0.019417,0.850509,0.091660,0.136718,0.00097977
52,0.017173,0.018941,0.855176,0.090140,0.134567,0.00097700
53,0.017257,0.020163,0.844945,0.097579,0.139239,0.00097406
54,0.017184,0.019938,0.845839,0.092863,0.138837,0.00097095
55,0.017223,0.018854,0.855588,0.089760,0.134375,0.00096767
56,0.017162,0.018520,0.859552,0.089276,0.132518,0.00096422
57,0.017139,0.019689,0.851868,0.093954,0.136095,0.00096059
58,0.017222,0.018918,0.854328,0.089185,0.134960,0.00095681
59,0.016979,0.019269,0.854216,0.092409,0.135012,0.00095285
60,0.017012,0.019034,0.852902,0.090635,0.135619,0.00094874
61,0.016921,0.021363,0.834209,0.101761,0.143979,0.00094446
62,0.017114,0.019996,0.845589,0.092978,0.138949,0.00094002
63,0.016929,0.019217,0.851426,0.091246,0.136298,0.00093541
64,0.016933,0.018844,0.854770,0.090643,0.134755,0.00093066
65,0.016966,0.018474,0.858023,0.089000,0.133237,0.00092574
66,0.016785,0.018509,0.858622,0.090149,0.132956,0.00092072
67,0.016893,0.023229,0.819637,0.108748,0.150173,0.00091550
68,0.016853,0.018485,0.859755,0.089415,0.132422,0.00091013
69,0.016798,0.020713,0.840222,0.100341,0.141344,0.00090461
70,0.016916,0.018478,0.862232,0.090064,0.131248,0.00089894
71,0.016875,0.018308,0.859452,0.088931,0.132565,0.00089313
72,0.016758,0.019633,0.848108,0.094253,0.137812,0.00088718
73,0.016770,0.019129,0.853483,0.093142,0.135351,0.00088108
74,0.016610,0.019146,0.851844,0.089234,0.136106,0.00087485
75,0.016866,0.018655,0.855972,0.088577,0.134196,0.00086848
76,0.016847,0.018503,0.858363,0.088696,0.133078,0.00086198
77,0.016649,0.021343,0.837224,0.100149,0.142664,0.00085535
78,0.016699,0.021170,0.835541,0.099759,0.143399,0.00084859
