epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
1,0.200887,0.030734,0.772107,0.121803,0.168804,0.00003600
2,0.082242,0.031614,0.772526,0.124227,0.168649,0.00003731
3,0.055184,0.033231,0.762951,0.128397,0.172162,0.00004128
4,0.042727,0.036485,0.739868,0.137965,0.180349,0.00004788
5,0.035944,0.033020,0.759075,0.130450,0.173564,0.00005707
6,0.031545,0.029948,0.780283,0.122540,0.165749,0.00006880
7,0.028887,0.027749,0.793615,0.116696,0.160641,0.00008299
8,0.026756,0.023630,0.822313,0.103904,0.149055,0.00009955
9,0.025275,0.022426,0.834491,0.100755,0.143856,0.00011838
10,0.024121,0.022310,0.832251,0.100078,0.144826,0.00013937
11,0.022950,0.020914,0.841479,0.095915,0.140787,0.00016239
12,0.022273,0.020441,0.846410,0.094839,0.138580,0.00018730
13,0.021623,0.022272,0.831481,0.101106,0.145158,0.00021393
14,0.021063,0.021817,0.841419,0.102355,0.140813,0.00024213
15,0.020942,0.020374,0.846750,0.094305,0.138426,0.00027173
16,0.020373,0.019932,0.846308,0.092048,0.138625,0.00030253
17,0.020127,0.019440,0.853489,0.091558,0.135348,0.00033436
18,0.019893,0.019887,0.846948,0.091634,0.138337,0.00036701
19,0.020078,0.020793,0.841452,0.098231,0.140799,0.00040028
20,0.019886,0.023054,0.829728,0.109166,0.145912,0.00043397
21,0.019456,0.019333,0.852024,0.090374,0.136023,0.00046787
22,0.019833,0.019954,0.850719,0.093541,0.136622,0.00050177
23,0.019316,0.025699,0.814608,0.112605,0.152252,0.00053546
24,0.019578,0.019301,0.853613,0.092216,0.135291,0.00056874
25,0.019084,0.022432,0.832152,0.102192,0.144869,0.00060140
26,0.018845,0.019710,0.848723,0.092725,0.137532,0.00063323
27,0.018811,0.025488,0.802651,0.112253,0.157085,0.00066404
28,0.019107,0.023621,0.817192,0.109677,0.151187,0.00069365
29,0.018637,0.023359,0.824675,0.103903,0.148061,0.00072186
30,0.018732,0.020338,0.846612,0.095534,0.138488,0.00074851
31,0.018695,0.021070,0.843190,0.097740,0.140025,0.00077342
32,0.018229,0.021899,0.837620,0.101230,0.142490,0.00079646
33,0.018323,0.049208,0.612847,0.180680,0.220018,0.00081746
34,0.018308,0.047850,0.646676,0.172792,0.210186,0.00083632
35,0.018251,0.027046,0.789172,0.119011,0.162361,0.00085278
36,0.018058,0.023273,0.820974,0.108565,0.149615,0.00086700
37,0.017944,0.020498,0.849370,0.097295,0.137238,0.00087877
38,0.017893,0.026668,0.795142,0.118478,0.160046,0.00088800
39,0.017842,0.019451,0.852012,0.091735,0.136029,0.00089464
40,0.017730,0.022499,0.835835,0.104079,0.143271,0.00089865
41,0.017803,0.026685,0.791811,0.116485,0.161342,0.00090000
42,0.017653,0.019186,0.853081,0.090978,0.135536,0.00089991
43,0.017442,0.019394,0.852095,0.092256,0.135991,0.00089966
44,0.017544,0.018817,0.855705,0.089456,0.134321,0.00089922
45,0.017730,0.022716,0.822844,0.102384,0.148832,0.00089862
46,0.017273,0.019047,0.854126,0.091465,0.135054,0.00089784
47,0.017309,0.019819,0.847196,0.093663,0.138225,0.00089689
48,0.017176,0.048204,0.629668,0.178273,0.215186,0.00089577
49,0.017748,0.019858,0.847511,0.093966,0.138082,0.00089448
