epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
1,0.605810,0.102478,0.338935,0.226170,0.287501,0.00002800
2,0.164011,0.058473,0.634040,0.167383,0.213912,0.00002864
3,0.102182,0.056350,0.648387,0.165788,0.209677,0.00003060
4,0.078360,0.054875,0.663552,0.163981,0.205105,0.00003388
5,0.065514,0.056489,0.654243,0.168729,0.207924,0.00003847
6,0.057364,0.056384,0.659406,0.169411,0.206365,0.00004434
7,0.051901,0.056245,0.656514,0.170689,0.207239,0.00005147
8,0.047756,0.054080,0.671406,0.166602,0.202697,0.00005983
9,0.044248,0.050455,0.699108,0.158430,0.193965,0.00006940
10,0.041344,0.046407,0.725525,0.148928,0.185255,0.00008013
11,0.038918,0.041709,0.755010,0.137515,0.175022,0.00009197
12,0.036792,0.040327,0.761765,0.134438,0.172592,0.00010490
13,0.034848,0.034638,0.800030,0.117184,0.158125,0.00011884
14,0.033383,0.034841,0.799651,0.118646,0.158275,0.00013376
15,0.032101,0.033495,0.809059,0.114572,0.154514,0.00014958
16,0.031057,0.036326,0.784413,0.123652,0.164183,0.00016625
17,0.030227,0.028232,0.848385,0.094188,0.137686,0.00018370
18,0.029386,0.029266,0.840892,0.098454,0.141047,0.00020186
19,0.028490,0.027941,0.851346,0.092474,0.136335,0.00022066
20,0.027817,0.028464,0.846287,0.096214,0.138635,0.00024003
21,0.027332,0.028386,0.849233,0.095338,0.137300,0.00025989
22,0.026918,0.028899,0.839957,0.095885,0.141461,0.00028016
23,0.026882,0.028708,0.849090,0.090991,0.137365,0.00030076
24,0.026422,0.027774,0.854815,0.091268,0.134734,0.00032161
25,0.025877,0.030671,0.824928,0.104431,0.147954,0.00034262
26,0.025480,0.032546,0.808655,0.111444,0.154677,0.00036372
27,0.025252,0.028030,0.848771,0.094384,0.137510,0.00038482
28,0.025215,0.030854,0.835411,0.103483,0.143456,0.00040584
29,0.025031,0.029136,0.854392,0.093368,0.134930,0.00042670
30,0.025016,0.029900,0.833113,0.096632,0.144454,0.00044731
31,0.024586,0.036194,0.779633,0.121987,0.165993,0.00046758
32,0.024254,0.028682,0.845161,0.093163,0.139142,0.00048745
33,0.024271,0.028168,0.845840,0.094503,0.138836,0.00050683
34,0.024062,0.027556,0.852041,0.093498,0.136015,0.00052565
35,0.023951,0.028231,0.856356,0.090944,0.134018,0.00054383
36,0.023484,0.027715,0.853252,0.089105,0.135458,0.00056130
37,0.023669,0.029803,0.833534,0.102600,0.144272,0.00057799
38,0.023548,0.030767,0.827863,0.098144,0.146708,0.00059384
39,0.023238,0.027259,0.853742,0.090847,0.135231,0.00060878
40,0.023328,0.027968,0.853045,0.089344,0.135553,0.00062275
41,0.023192,0.027399,0.852313,0.091278,0.135890,0.00063570
42,0.023027,0.028836,0.853157,0.089976,0.135502,0.00064758
43,0.022982,0.029319,0.853734,0.094047,0.135235,0.00065834
44,0.023079,0.028048,0.848397,0.091950,0.137680,0.00066793
45,0.023019,0.037196,0.775524,0.123190,0.167534,0.00067633
46,0.022813,0.027418,0.857740,0.088800,0.133370,0.00068349
47,0.022832,0.027306,0.857662,0.090901,0.133407,0.00068939
48,0.022838,0.033849,0.823161,0.102112,0.148699,0.00069401
49,0.022619,0.031527,0.818908,0.107221,0.150476,0.00069733
50,0.022533,0.030096,0.831323,0.098457,0.145226,0.00069933
51,0.022608,0.028785,0.839480,0.097612,0.141671,0.00070000
52,0.022447,0.028744,0.856600,0.092788,0.133904,0.00069992
53,0.022199,0.032333,0.831370,0.096130,0.145206,0.00069970
54,0.022122,0.030220,0.830219,0.099961,0.145701,0.00069931
55,0.022670,0.027488,0.855921,0.090753,0.134220,0.00069878
56,0.022238,0.027738,0.849388,0.094835,0.137230,0.00069810
57,0.022049,0.029229,0.853538,0.092730,0.135326,0.00069726
58,0.022199,0.027519,0.852936,0.092401,0.135603,0.00069626
59,0.022014,0.028796,0.846093,0.090629,0.138723,0.00069512
60,0.022130,0.028528,0.842424,0.096756,0.140366,0.00069382
61,0.021779,0.027734,0.855861,0.089630,0.134248,0.00069238
62,0.021883,0.028276,0.857063,0.092741,0.133687,0.00069078
63,0.021981,0.027585,0.855389,0.088234,0.134468,0.00068904
64,0.022063,0.028350,0.855146,0.090038,0.134581,0.00068714
65,0.021794,0.028366,0.844660,0.095483,0.139367,0.00068510
66,0.021787,0.028117,0.858567,0.090448,0.132982,0.00068291
67,0.021868,0.028380,0.843955,0.097165,0.139683,0.00068057
