layer,source_category,mean_attention,std_attention,n_edges
0,Buried,0.29097003,0.29449308,122684
0,Intermediate,0.39808306,0.33195433,86566
0,Exposed,0.47197732,0.33360955,57126
1,Buried,0.2909704,0.29449305,122684
1,Intermediate,0.3980825,0.33195457,86566
1,Exposed,0.4719772,0.3336096,57126
2,Buried,0.29096958,0.29449308,122684
2,Intermediate,0.39808354,0.3319542,86566
2,Exposed,0.4719775,0.33360946,57126
3,Buried,0.29096973,0.29449308,122684
3,Intermediate,0.3980835,0.33195424,86566
3,Exposed,0.47197723,0.33360955,57126
