layer,head,mean,std,min,max,median,skew,entropy
0,0,0.3618485,0.3215991,0.023809517,1.0,0.20000002,1.0888826847076416,0.23871318
0,1,0.3618485,0.3215991,0.023807129,1.0,0.20000435,1.0888826847076416,0.23871318
0,2,0.3618485,0.32159907,0.023809316,1.0,0.20000096,1.0888828039169312,0.23871318
0,3,0.3618485,0.32159907,0.023808444,1.0,0.20000245,1.0888828039169312,0.23871318
1,0,0.3618485,0.32159907,0.023809418,1.0,0.20000024,1.0888828039169312,0.23871318
1,1,0.3618485,0.32159907,0.023804568,1.0,0.20001327,1.0888828039169312,0.23871315
1,2,0.3618485,0.32159907,0.023809243,1.0,0.20000099,1.0888828039169312,0.23871318
1,3,0.3618485,0.32159907,0.023809422,1.0,0.20000058,1.0888828039169312,0.23871318
2,0,0.3618485,0.32159907,0.023809245,1.0,0.20000064,1.0888828039169312,0.23871318
2,1,0.3618485,0.32159907,0.023808852,1.0,0.20000164,1.0888828039169312,0.23871318
2,2,0.3618485,0.32159907,0.023809219,1.0,0.20000078,1.0888826847076416,0.23871318
2,3,0.3618485,0.32159907,0.02380891,1.0,0.2000019,1.0888828039169312,0.23871318
3,0,0.3618485,0.32159907,0.0238095,1.0,0.20000024,1.0888828039169312,0.23871318
3,1,0.3618485,0.32159907,0.023809465,1.0,0.20000057,1.0888828039169312,0.23871318
3,2,0.3618485,0.32159907,0.023809474,1.0,0.20000032,1.0888828039169312,0.23871318
3,3,0.3618485,0.32159907,0.023809496,1.0,0.20000014,1.0888828039169312,0.23871318
