epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
1,0.405904,0.194190,-0.235970,0.354979,0.393117,0.00002800
2,0.105538,0.069940,0.549951,0.203999,0.237218,0.00002864
3,0.061390,0.046491,0.699867,0.161629,0.193720,0.00003060
4,0.048349,0.036829,0.768591,0.139601,0.170101,0.00003388
5,0.040983,0.034779,0.783296,0.136153,0.164608,0.00003847
6,0.036476,0.036394,0.766036,0.143279,0.171038,0.00004434
7,0.033589,0.030148,0.814377,0.125416,0.152347,0.00005147
8,0.031528,0.028235,0.823582,0.122438,0.148522,0.00005983
9,0.029680,0.024437,0.845375,0.114514,0.139046,0.00006940
10,0.028034,0.028601,0.818620,0.126648,0.150596,0.00008013
11,0.026784,0.024418,0.845850,0.114348,0.138832,0.00009197
12,0.025836,0.029980,0.810282,0.130248,0.154018,0.00010490
13,0.025037,0.012714,0.918623,0.077242,0.100872,0.00011884
14,0.024193,0.019171,0.875915,0.101172,0.124560,0.00013376
15,0.023306,0.019448,0.875274,0.101601,0.124881,0.00014958
16,0.022580,0.017817,0.883641,0.096727,0.120620,0.00016625
17,0.021851,0.014839,0.904667,0.085508,0.109179,0.00018370
18,0.021306,0.011349,0.924912,0.073807,0.096895,0.00020186
19,0.021019,0.011318,0.927248,0.072863,0.095377,0.00022066
20,0.020513,0.010988,0.927663,0.071181,0.095104,0.00024003
21,0.020132,0.021949,0.851650,0.108888,0.136195,0.00025989
22,0.019563,0.015117,0.910625,0.082120,0.105712,0.00028016
23,0.019502,0.012668,0.918258,0.078793,0.101098,0.00030076
24,0.018810,0.015539,0.896481,0.088259,0.113770,0.00032161
25,0.018513,0.010268,0.933574,0.069030,0.091135,0.00034262
26,0.017955,0.010249,0.935983,0.068273,0.089467,0.00036372
27,0.017771,0.009662,0.938363,0.066461,0.087788,0.00038482
28,0.017234,0.020173,0.865756,0.103833,0.129558,0.00040584
29,0.016797,0.010640,0.928997,0.071953,0.094223,0.00042670
30,0.016637,0.011300,0.925120,0.075701,0.096761,0.00044731
31,0.016241,0.012276,0.916809,0.078930,0.101990,0.00046758
32,0.016061,0.018444,0.883312,0.093615,0.120790,0.00048745
33,0.016133,0.010745,0.929265,0.070992,0.094045,0.00050683
34,0.015886,0.012538,0.916215,0.077380,0.102353,0.00052565
35,0.015771,0.012477,0.917193,0.077329,0.101754,0.00054383
36,0.015676,0.032541,0.822753,0.117787,0.148870,0.00056130
37,0.015667,0.025637,0.828836,0.120639,0.146293,0.00057799
38,0.015369,0.018112,0.879927,0.097420,0.122530,0.00059384
39,0.015255,0.010001,0.938634,0.068062,0.087595,0.00060878
40,0.015397,0.031639,0.790262,0.133172,0.161941,0.00062275
41,0.015416,0.011919,0.932827,0.070486,0.091646,0.00063570
42,0.015149,0.013668,0.912726,0.080705,0.104462,0.00064758
43,0.014951,0.028931,0.807421,0.127315,0.155175,0.00065834
44,0.015193,0.010851,0.928885,0.071788,0.094297,0.00066793
45,0.015254,0.010345,0.938657,0.067121,0.087579,0.00067633
46,0.014781,0.009845,0.939552,0.066910,0.086938,0.00068349
47,0.014869,0.010846,0.926382,0.074312,0.095942,0.00068939
48,0.014681,0.026264,0.829986,0.119631,0.145801,0.00069401
49,0.014771,0.016093,0.891332,0.090385,0.116565,0.00069733
50,0.014743,0.025000,0.835650,0.119612,0.143352,0.00069933
51,0.014511,0.011086,0.925145,0.074032,0.096745,0.00070000
52,0.014412,0.010670,0.934705,0.069382,0.090356,0.00069992
53,0.014225,0.026988,0.843980,0.117486,0.139672,0.00069970
54,0.014169,0.020313,0.863509,0.107140,0.130638,0.00069931
55,0.014458,0.011872,0.927396,0.074868,0.095279,0.00069878
56,0.014064,0.010355,0.931320,0.071783,0.092669,0.00069809
57,0.014226,0.028528,0.821608,0.120666,0.149350,0.00069725
58,0.013992,0.016047,0.901619,0.087639,0.110911,0.00069625
59,0.014266,0.015523,0.909594,0.084449,0.106321,0.00069511
60,0.013916,0.023479,0.843539,0.115772,0.139869,0.00069381
61,0.014001,0.028420,0.817397,0.125193,0.151102,0.00069237
62,0.014223,0.022434,0.870219,0.104610,0.127386,0.00069077
63,0.013751,0.012184,0.921634,0.075551,0.098988,0.00068902
64,0.013695,0.009571,0.936469,0.068517,0.089127,0.00068712
65,0.013741,0.015283,0.905746,0.085278,0.108560,0.00068508
66,0.014009,0.011162,0.927594,0.071890,0.095149,0.00068289
67,0.013785,0.012852,0.923322,0.076789,0.097916,0.00068055
68,0.013652,0.022512,0.847550,0.115842,0.138064,0.00067807
69,0.013487,0.028237,0.802584,0.131338,0.157112,0.00067545
70,0.013499,0.020864,0.871749,0.103330,0.126633,0.00067268
71,0.013449,0.010422,0.936668,0.069348,0.088988,0.00066977
72,0.013486,0.014370,0.920105,0.078523,0.099949,0.00066672
73,0.013715,0.010308,0.935665,0.068300,0.089690,0.00066356
74,0.013401,0.011818,0.932872,0.072756,0.091616,0.00066023
75,0.013486,0.046262,0.725638,0.151300,0.185217,0.00065677
76,0.013243,0.033364,0.789597,0.132216,0.162197,0.00065317
77,0.013360,0.024251,0.848246,0.110560,0.137749,0.00064944
78,0.013458,0.016602,0.894655,0.091234,0.114769,0.00064558
79,0.013402,0.035718,0.773520,0.141108,0.168280,0.00064159
80,0.013342,0.027432,0.833998,0.119544,0.144070,0.00063748
81,0.013088,0.011658,0.921383,0.076024,0.099146,0.00063323
82,0.013351,0.019175,0.865819,0.106379,0.129528,0.00062886
83,0.013083,0.009336,0.941485,0.066196,0.085537,0.00062437
84,0.013010,0.043572,0.734269,0.154825,0.182280,0.00061976
85,0.013007,0.051533,0.656455,0.185532,0.207257,0.00061503
86,0.013103,0.009265,0.941450,0.065021,0.085562,0.00061019
87,0.013310,0.018374,0.881847,0.096883,0.121546,0.00060523
88,0.013078,0.012750,0.911895,0.083175,0.104959,0.00060016
89,0.013146,0.029308,0.818454,0.125258,0.150664,0.00059497
90,0.013066,0.012221,0.916930,0.079499,0.101915,0.00058973
91,0.013149,0.012222,0.922194,0.077100,0.098634,0.00058434
92,0.012895,0.010322,0.933498,0.070880,0.091188,0.00057884
93,0.012904,0.014924,0.905504,0.086040,0.108699,0.00057325
94,0.012912,0.012332,0.925111,0.075844,0.096767,0.00056755
95,0.012965,0.019320,0.874779,0.099361,0.125128,0.00056176
96,0.012819,0.017572,0.888689,0.095590,0.117974,0.00055588
97,0.012950,0.009896,0.936936,0.067313,0.088799,0.00054991
98,0.012859,0.009450,0.942142,0.065347,0.085055,0.00054385
99,0.012921,0.013672,0.921575,0.078324,0.099025,0.00053770
100,0.012847,0.023369,0.839812,0.117178,0.141525,0.00053148
101,0.012818,0.017020,0.902153,0.088998,0.110609,0.00052517
102,0.012733,0.010959,0.931816,0.072126,0.092334,0.00051884
103,0.012721,0.010748,0.936838,0.069986,0.088868,0.00051238
104,0.012742,0.042330,0.750452,0.152327,0.176642,0.00050585
105,0.013214,0.013409,0.921303,0.074528,0.099197,0.00049926
106,0.012852,0.010881,0.936173,0.069844,0.089335,0.00049259
