layer,source_category,mean_attention,std_attention,n_edges
0,Buried,0.28375947,0.29574612,141409
0,Intermediate,0.41182736,0.33949307,90624
0,Exposed,0.47335717,0.3375099,56510
1,Buried,0.28475225,0.29741254,141409
1,Intermediate,0.41140833,0.34207222,90624
1,Exposed,0.47154483,0.33910286,56510
2,Buried,0.28478304,0.29625922,141409
2,Intermediate,0.41117704,0.34059656,90624
2,Exposed,0.4718388,0.33794665,56510
3,Buried,0.28390113,0.29905707,141409
3,Intermediate,0.41358313,0.34457028,90624
3,Exposed,0.47018698,0.34480232,56510
