layer,head,mean,std,min,max,median,skew,entropy
0,0,0.36523783,0.32669905,0.02294332,1.0,0.20676711,1.0561529397964478,0.23506701
0,1,0.36523792,0.32632542,0.028506372,1.0,0.20385009,1.058223009109497,0.23538347
0,2,0.36523792,0.32831427,0.008797434,1.0,0.21142267,1.0476138591766357,0.23366603
0,3,0.3652379,0.32861334,0.007148395,1.0,0.21098022,1.0460493564605713,0.2333949
1,0,0.36523792,0.32624635,0.028850595,1.0,0.20254742,1.0586596727371216,0.2354493
1,1,0.36523786,0.32620788,0.029261012,1.0,0.200532,1.058883547782898,0.2354821
1,2,0.3652378,0.32620662,0.029274913,1.0,0.20038976,1.058890700340271,0.23548311
1,3,0.36523786,0.36565948,4.055543e-09,1.0,0.19121206,0.8275284767150879,0.18874744
2,0,0.3652379,0.32620674,0.029293463,1.0,0.20035161,1.0588897466659546,0.23548307
2,1,0.3652378,0.3262067,0.029299654,1.0,0.20031992,1.0588902235031128,0.2354831
2,2,0.36523786,0.34875467,6.0479206e-06,1.0,0.20326376,0.9257516264915466,0.21114013
2,3,0.3652379,0.32620734,0.029275974,1.0,0.2005067,1.0588858127593994,0.2354825
3,0,0.3652379,0.3302453,0.0029941627,1.0,0.21218678,1.0376360416412354,0.23191729
3,1,0.36523783,0.32932714,0.005338275,1.0,0.21209837,1.0423303842544556,0.23275632
3,2,0.36523783,0.33491525,0.0002098442,1.0,0.20875838,1.0144644975662231,0.2274751
3,3,0.36523777,0.33349514,0.00046409172,1.0,0.21027297,1.021385908126831,0.22885264
