feature,importance,importance_std
geom_max_dist,1.9601017,0.002517408
geom_3rd_nearest_dist,1.8825706,0.0006154113
geom_min_dist,1.3194234,0.002515554
geom_mean_dist,0.742415,0.0015195387
geom_radial_position,0.6264468,0.0015234269
geom_std_dist,0.37627816,0.00043353697
b_factor,0.2888196,0.0012665356
geom_dist_to_center,0.17096078,0.00047624318
expasy:hphob_rose,0.06001206,0.00015959407
element_C,0.05086277,8.674382e-05
expasy:averageburied,0.048261464,0.00014142544
expasy:totalbeta_strand,0.03983851,8.201305e-05
expasy:ratioside,0.03949241,0.0003108487
backbone_sin_psi,0.0368793,7.342055e-05
atom_CA,0.035732567,0.0002995564
atom_C,0.035390597,0.00010675343
backbone_cos_psi,0.033511817,0.00034667627
backbone_cos_phi,0.033310354,0.000110427056
expasy:polaritygrantham,0.03174482,0.0001079523
meiler:dim_4,0.027595976,6.800193e-05
element_O,0.027484119,8.468934e-05
expasy:accessibleresidues,0.025958082,0.00013855765
expasy:transmembranetendency,0.025602499,0.00027832185
expasy:beta_turnroux,0.025561213,0.00022843394
meiler:dim_7,0.025445461,6.598104e-05
expasy:beta_turnfasman,0.025047163,0.00016741219
expasy:buriedresidues,0.024792552,0.00024381252
expasy:hphob_eisenberg,0.024564564,6.0520135e-05
expasy:parallelbeta_strand,0.023303092,0.00012546225
expasy:hphob_guy,0.019879758,0.00018677485
atom_N,0.016966006,0.00016175993
backbone_sin_phi,0.014874299,0.00015721709
element_N,0.014540653,3.3726796e-05
atom_CB,0.012794395,0.00016026296
expasy:bulkiness,0.012269139,0.00015695179
meiler:dim_1,0.01158144,0.000119445685
expasy:polarityzimmerman,0.010431826,8.160262e-05
expasy:averageflexibility,0.010282298,7.992716e-05
expasy:coilroux,0.010258198,0.00010262377
atom_O,0.007507304,8.344654e-05
meiler:dim_5,0.007224063,0.00014840844
hbond_donors,0.006735603,0.00018410177
residue_LEU,0.0040033064,2.1422838e-05
hbond_acceptors,0.0033332705,0.00017919531
residue_GLU,0.002607882,3.3556338e-05
atom_CG,0.002000749,2.8324188e-05
residue_ALA,0.0015420517,1.8026658e-05
atom_CD1,0.0013529857,6.0227092e-05
atom_OTHER,0.0012832284,3.8792077e-05
residue_TYR,0.0012244781,4.7582886e-05
residue_ARG,0.0010436177,4.4862307e-05
atom_CE1,0.0009815097,2.0124196e-05
atom_CZ,0.00093557435,1.4728446e-05
residue_SER,0.00083070993,2.2285656e-05
residue_TRP,0.00081568956,2.516267e-05
residue_THR,0.0008063515,4.8011247e-05
residue_VAL,0.00075119734,2.8119413e-05
atom_CD2,0.0007483363,3.3356453e-05
residue_MET,0.00073007745,1.3065281e-05
residue_ILE,0.0006779631,2.7918453e-05
residue_PRO,0.00065304834,9.617653e-06
residue_GLN,0.0006357829,4.2670774e-05
atom_CG1,0.0005780856,2.5451127e-05
element_S,0.0005590518,1.7835926e-05
residue_PHE,0.0005364418,3.5027555e-05
residue_GLY,0.000530382,1.3983723e-05
residue_LYS,0.0005008181,2.0255836e-06
residue_HIS,0.000455757,2.7238619e-05
atom_CE2,0.00033217669,1.5013115e-05
atom_CE,0.00032784542,2.1005279e-05
atom_CG2,0.00032645464,3.5746492e-05
atom_CD,0.0002390941,1.0597826e-05
atom_OG,0.00018348296,1.7687576e-05
atom_OG1,0.0001673301,1.38332725e-05
residue_ASN,0.00015830994,3.6802703e-05
atom_SG,0.00015650193,5.6218973e-06
residue_CYS,0.00013093154,4.6685655e-06
atom_NE,9.1513e-05,8.307147e-06
atom_NE1,9.036064e-05,7.2566054e-06
atom_ND1,7.1028866e-05,4.039751e-06
atom_OD2,6.453196e-05,9.796984e-06
atom_SD,4.382928e-05,5.3343842e-06
atom_OD1,3.1888485e-05,9.7954935e-06
atom_OE1,8.324782e-06,1.6888029e-05
residue_OTHER,-1.9868216e-08,5.61958e-08
element_OTHER,-5.9604645e-08,0.0
atom_ND2,-8.543332e-06,1.0200621e-05
atom_NE2,-9.4771385e-06,4.8168026e-06
atom_CE3,-1.047055e-05,1.8061507e-06
atom_NZ,-5.0008297e-05,6.382616e-06
atom_OE2,-0.000112096466,3.2136184e-06
residue_ASP,-0.00051953393,1.6339382e-05
