epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
1,1.092174,0.190341,0.113684,0.263911,0.332899,0.00002800
2,0.260937,0.152944,0.260884,0.237514,0.304000,0.00002862
3,0.181075,0.135398,0.329426,0.225927,0.289562,0.00003056
4,0.158438,0.122698,0.378867,0.216930,0.278683,0.00003382
5,0.145213,0.115403,0.400116,0.211176,0.273874,0.00003838
6,0.135626,0.110292,0.413137,0.208258,0.270886,0.00004422
7,0.127892,0.102990,0.450911,0.203042,0.262023,0.00005133
8,0.121220,0.098437,0.475796,0.198814,0.256017,0.00005967
9,0.115361,0.109727,0.391500,0.209293,0.275834,0.00006922
10,0.110438,0.103379,0.416079,0.204875,0.270206,0.00007993
11,0.106358,0.091215,0.493282,0.192323,0.251710,0.00009176
12,0.103004,0.094664,0.459357,0.198162,0.260000,0.00010466
13,0.100137,0.100154,0.467106,0.201958,0.258130,0.00011859
14,0.097667,0.084276,0.537961,0.185639,0.240357,0.00013349
15,0.095497,0.085207,0.518779,0.187349,0.245296,0.00014930
16,0.093386,0.085802,0.530851,0.187070,0.242199,0.00016595
17,0.091411,0.080608,0.543114,0.182463,0.239013,0.00018339
18,0.089511,0.092517,0.461955,0.197428,0.259374,0.00020154
19,0.088431,0.077108,0.570527,0.178809,0.231732,0.00022033
20,0.087013,0.077672,0.559226,0.179906,0.234761,0.00023969
21,0.085799,0.080051,0.552246,0.181437,0.236612,0.00025954
22,0.085256,0.079277,0.535847,0.184238,0.240906,0.00027980
23,0.084327,0.074440,0.578516,0.176278,0.229566,0.00030039
24,0.082897,0.077075,0.576421,0.178630,0.230136,0.00032124
25,0.082426,0.104438,0.457457,0.206271,0.260456,0.00034225
26,0.081820,0.073929,0.572331,0.177065,0.231245,0.00036335
27,0.081265,0.074397,0.578068,0.175354,0.229688,0.00038445
28,0.080695,0.078611,0.559697,0.181046,0.234636,0.00040548
29,0.079594,0.085162,0.535617,0.188360,0.240966,0.00042633
30,0.079443,0.078373,0.565537,0.179000,0.233074,0.00044695
31,0.079721,0.073037,0.601243,0.173074,0.223291,0.00046723
32,0.078240,0.078178,0.571148,0.178882,0.231564,0.00048711
33,0.078506,0.071192,0.600553,0.171862,0.223484,0.00050650
34,0.077391,0.070587,0.605505,0.171301,0.222095,0.00052533
35,0.077402,0.075730,0.579521,0.177114,0.229293,0.00054352
36,0.077062,0.081144,0.542617,0.183539,0.239143,0.00056100
37,0.076804,0.071330,0.591342,0.172799,0.226046,0.00057771
38,0.076703,0.072409,0.602534,0.171982,0.222930,0.00059357
39,0.077148,0.074743,0.574612,0.177405,0.230627,0.00060852
40,0.076648,0.077927,0.572184,0.178254,0.231284,0.00062251
41,0.075794,0.074200,0.579724,0.175897,0.229237,0.00063548
42,0.075697,0.071802,0.579920,0.174274,0.229184,0.00064738
43,0.075653,0.075807,0.587002,0.177724,0.227244,0.00065816
44,0.075065,0.070288,0.612916,0.170566,0.219999,0.00066777
45,0.074578,0.078747,0.551040,0.181358,0.236931,0.00067619
46,0.075129,0.073134,0.605854,0.173893,0.221997,0.00068338
47,0.074861,0.069644,0.619271,0.169337,0.218186,0.00068930
48,0.074490,0.069618,0.614620,0.170148,0.219514,0.00069394
49,0.073820,0.072775,0.584902,0.174957,0.227821,0.00069728
50,0.074034,0.079217,0.565791,0.180691,0.233006,0.00069930
51,0.074137,0.069985,0.606914,0.169467,0.221698,0.00070000
52,0.073736,0.079406,0.537316,0.184497,0.240525,0.00069993
53,0.073746,0.070208,0.603143,0.170292,0.222759,0.00069970
54,0.073157,0.067556,0.628599,0.166417,0.215496,0.00069932
55,0.073658,0.072226,0.601776,0.172004,0.223142,0.00069879
56,0.073105,0.073135,0.592142,0.174852,0.225825,0.00069810
57,0.072803,0.072155,0.575340,0.174870,0.230430,0.00069726
58,0.073252,0.069316,0.601969,0.169970,0.223088,0.00069627
59,0.072770,0.068018,0.611490,0.169043,0.220404,0.00069513
60,0.072259,0.070958,0.591748,0.173183,0.225934,0.00069384
61,0.072359,0.070130,0.613291,0.169847,0.219892,0.00069239
62,0.072147,0.068592,0.623990,0.167769,0.216829,0.00069080
63,0.072130,0.073908,0.582245,0.175577,0.228549,0.00068905
64,0.072220,0.068614,0.614624,0.169253,0.219513,0.00068716
65,0.072209,0.070388,0.596689,0.172446,0.224563,0.00068512
66,0.071676,0.068753,0.620328,0.168011,0.217882,0.00068293
67,0.071732,0.067908,0.611252,0.168420,0.220471,0.00068060
68,0.071473,0.066567,0.623625,0.166010,0.216934,0.00067812
