Grid Search Results Summary
====================================================================================================

Rank  Experiment                          R²       MAE      RMSE     Pearson  Time(s) 
----------------------------------------------------------------------------------------------------
1     onecycle_maxlr0.003_pct0.3          0.5456   0.1887   0.2381   0.7398   113.6   
2     onecycle_maxlr0.003_pct0.2          0.5433   0.1891   0.2387   0.7380   114.6   
3     onecycle_maxlr0.002_pct0.2          0.5417   0.1903   0.2391   0.7376   119.2   
4     onecycle_maxlr0.003_pct0.4          0.5408   0.1901   0.2394   0.7368   114.1   
5     onecycle_maxlr0.002_pct0.3          0.5386   0.1908   0.2399   0.7352   114.1   
6     onecycle_maxlr0.002_pct0.4          0.5377   0.1909   0.2402   0.7349   113.9   
7     cosine_lr0.001_minlr1e-06           0.5364   0.1912   0.2405   0.7339   0.0     
8     cosine_lr0.001_minlr1e-05           0.5363   0.1914   0.2405   0.7329   0.0     
9     onecycle_maxlr0.001_pct0.3          0.5346   0.1916   0.2410   0.7318   115.7   
10    onecycle_maxlr0.001_pct0.4          0.5344   0.1919   0.2410   0.7320   125.9   
11    cosine_lr0.001_minlr1e-04           0.5340   0.1910   0.2411   0.7326   0.0     
12    onecycle_maxlr0.001_pct0.2          0.5333   0.1920   0.2413   0.7313   113.9   
13    cosine_lr0.0005_minlr1e-06          0.5223   0.1948   0.2442   0.7242   0.0     
14    cosine_lr0.0005_minlr1e-05          0.5206   0.1946   0.2446   0.7229   0.0     
15    cosine_lr0.0005_minlr1e-04          0.5202   0.1943   0.2447   0.7238   0.0     
16    cosine_lr0.0003_minlr1e-04          0.5152   0.1952   0.2460   0.7191   118.5   
17    cosine_lr0.0003_minlr1e-05          0.5135   0.1956   0.2464   0.7175   169.6   
18    cosine_lr0.0003_minlr1e-06          0.5117   0.1965   0.2468   0.7165   0.0     

