experiment,scheduler,r2,mae,mse,rmse,pearson,median_ae,mean_error,std_error,duration_s,epochs_trained,best_epoch,params,timestamp
cosine_lr0.0003_minlr1e-06,cosine_annealing,0.5117,0.1965,0.0609,0.2468,0.7165,0.1615,-0.0105,0.2466,0,23,23,"{""lr"": 0.0003, ""min_lr"": 1e-06}",2026-01-13T16:48:31.180933
cosine_lr0.0005_minlr1e-04,cosine_annealing,0.5202,0.1943,0.0599,0.2447,0.7238,0.1613,-0.0169,0.2441,0,21,21,"{""lr"": 0.0005, ""min_lr"": 0.0001}",2026-01-13T16:48:32.040179
cosine_lr0.0005_minlr1e-05,cosine_annealing,0.5206,0.1946,0.0598,0.2446,0.7229,0.1617,-0.0118,0.2443,0,22,22,"{""lr"": 0.0005, ""min_lr"": 1e-05}",2026-01-13T16:48:32.871022
cosine_lr0.0005_minlr1e-06,cosine_annealing,0.5223,0.1948,0.0596,0.2442,0.7242,0.1635,-0.006,0.2441,0,25,25,"{""lr"": 0.0005, ""min_lr"": 1e-06}",2026-01-13T16:48:33.664627
cosine_lr0.001_minlr1e-04,cosine_annealing,0.534,0.191,0.0582,0.2411,0.7326,0.1582,-0.0154,0.2407,0,23,23,"{""lr"": 0.001, ""min_lr"": 0.0001}",2026-01-13T16:48:34.464393
cosine_lr0.001_minlr1e-05,cosine_annealing,0.5363,0.1914,0.0579,0.2405,0.7329,0.16,-0.001,0.2405,0,25,25,"{""lr"": 0.001, ""min_lr"": 1e-05}",2026-01-13T16:48:35.288239
cosine_lr0.001_minlr1e-06,cosine_annealing,0.5364,0.1912,0.0578,0.2405,0.7339,0.1598,-0.0075,0.2404,0,25,25,"{""lr"": 0.001, ""min_lr"": 1e-06}",2026-01-13T16:48:36.090306
cosine_lr0.0003_minlr1e-05,cosine_annealing,0.5135,0.1956,0.0607,0.2464,0.7175,0.1609,-0.0106,0.2461,169.6,22,22,"{""lr"": 0.0003, ""min_lr"": 1e-05}",2026-01-13T16:57:49.968899
cosine_lr0.0003_minlr1e-04,cosine_annealing,0.5152,0.1952,0.0605,0.246,0.7191,0.16,-0.0133,0.2456,118.5,20,20,"{""lr"": 0.0003, ""min_lr"": 0.0001}",2026-01-13T16:59:48.519840
onecycle_maxlr0.001_pct0.2,one_cycle,0.5333,0.192,0.0582,0.2413,0.7313,0.1596,-0.0065,0.2412,113.9,25,25,"{""max_lr"": 0.001, ""pct_start"": 0.2}",2026-01-13T17:01:42.403513
onecycle_maxlr0.001_pct0.3,one_cycle,0.5346,0.1916,0.0581,0.241,0.7318,0.1592,-0.0047,0.2409,115.7,24,24,"{""max_lr"": 0.001, ""pct_start"": 0.3}",2026-01-13T17:03:38.156213
onecycle_maxlr0.001_pct0.4,one_cycle,0.5344,0.1919,0.0581,0.241,0.732,0.1602,-0.0055,0.241,125.9,25,25,"{""max_lr"": 0.001, ""pct_start"": 0.4}",2026-01-13T17:05:44.058668
onecycle_maxlr0.002_pct0.2,one_cycle,0.5417,0.1903,0.0572,0.2391,0.7376,0.1593,-0.0049,0.2391,119.2,25,25,"{""max_lr"": 0.002, ""pct_start"": 0.2}",2026-01-13T17:07:43.275848
onecycle_maxlr0.002_pct0.3,one_cycle,0.5386,0.1908,0.0576,0.2399,0.7352,0.1593,-0.0063,0.2399,114.1,25,25,"{""max_lr"": 0.002, ""pct_start"": 0.3}",2026-01-13T17:09:37.367860
onecycle_maxlr0.002_pct0.4,one_cycle,0.5377,0.1909,0.0577,0.2402,0.7349,0.1594,-0.0078,0.2401,113.9,25,25,"{""max_lr"": 0.002, ""pct_start"": 0.4}",2026-01-13T17:11:31.312202
onecycle_maxlr0.003_pct0.2,one_cycle,0.5433,0.1891,0.057,0.2387,0.738,0.1566,-0.0093,0.2386,114.6,24,24,"{""max_lr"": 0.003, ""pct_start"": 0.2}",2026-01-13T17:13:25.917180
onecycle_maxlr0.003_pct0.3,one_cycle,0.5456,0.1887,0.0567,0.2381,0.7398,0.1567,-0.009,0.238,113.6,25,25,"{""max_lr"": 0.003, ""pct_start"": 0.3}",2026-01-13T17:15:19.524671
onecycle_maxlr0.003_pct0.4,one_cycle,0.5408,0.1901,0.0573,0.2394,0.7368,0.1584,-0.0075,0.2392,114.1,25,25,"{""max_lr"": 0.003, ""pct_start"": 0.4}",2026-01-13T17:17:13.651782
