feature,correlation
b_factor,0.6282908401576807
expasy:hphob_guy,0.4665153077443901
expasy:hphob_eisenberg,-0.4492422383732605
expasy:hphob_roseman,-0.4307620252393567
expasy:hphob_tanford,-0.4299707702944712
expasy:hphob_rose,-0.42234254552918155
expasy:hphob_black,-0.41901755520864237
expasy:hphob_janin,-0.4177659371495827
expasy:hphob_woods,0.41469495528694017
expasy:hphob_chothia,-0.414541113542305
expasy:transmembranetendency,-0.4122850037548823
expasy:hphob_ph7_5,-0.4115842243799188
meiler:dim_4,-0.41120391866302825
expasy:hphob_fauchere,-0.41120391866302825
expasy:hphob_manavalan,-0.39904930321931226
expasy:hphob_argos,-0.39866483970949335
expasy:hphob_doolittle,-0.39611852573350137
expasy:hphob_miyazawa,-0.3939572979903534
expasy:hphob_leo,-0.3926825725275105
expasy:polaritygrantham,0.39030994082816417
expasy:hphob_wolfenden,-0.3845726087056919
expasy:hphob_ph3_4,-0.38068549991678274
expasy:hphob_wilson,-0.375862539834034
expasy:averageflexibility,0.369214394750775
expasy:parallelbeta_strand,-0.36192943847008985
expasy:hphob_sweet,-0.35088841641185153
meiler:dim_7,-0.34095041363818607
expasy:hphob_parker,0.3387685956061398
expasy:hphob_mobility,-0.33337450302389404
expasy:beta_sheetroux,-0.32775942691519827
expasy:polarityzimmerman,0.32753712138199487
expasy:totalbeta_strand,-0.3252607162762949
expasy:hplc2_1,-0.31368269895962864
expasy:beta_sheetfasman,-0.3109326830934527
expasy:hphob_breese,0.3057094156745095
expasy:beta_sheetlevitt,-0.30153905663260017
expasy:accessibleresidues,0.25509705896466006
expasy:hplc7_4,-0.25336255726720625
expasy:buriedresidues,-0.25293554266735274
expasy:antiparallelbeta_strand,-0.25044297984654396
expasy:beta_turnroux,0.22229495346397832
meiler:dim_1,-0.21435459605317428
expasy:beta_turnlevitt,0.2124819447043261
hbond_donors,0.21194597511102628
expasy:hphob_welling,0.2114715648955042
expasy:hplctfa,-0.20912041514365978
expasy:pka_nh3,-0.20128636588738663
expasy:bulkiness,-0.18956158015045046
meiler:dim_5,0.16486494381355085
expasy:averageburied,-0.16223840178464352
expasy:beta_turnfasman,0.16085618610927607
expasy:isoelectric_points,0.1476993929691294
expasy:relativemutability,0.1412727120569812
hbond_acceptors,0.14011807597037332
expasy:pka_cooh_alpha,-0.1344317976060406
expasy:ratioside,0.1343632122568283
expasy:numbercodons,0.13085079230367988
expasy:pka_rgroup,0.12647932124129868
expasy:hplchfba,-0.12109852952368853
expasy:coilroux,0.10327141373916383
expasy:a_a_composition,0.09889617678536405
meiler:dim_6,0.09753373830322283
expasy:refractivity,-0.08174802497945563
expasy:a_a_swiss_prot,0.08011886024712135
expasy:alpha_helixroux,0.061805635574231126
expasy:alpha_helixlevitt,0.06096609252209416
expasy:molecularweight,0.05108065975906662
expasy:recognitionfactors,0.030216929639606253
meiler:dim_2,-0.021220242519905484
meiler:dim_3,0.01412242277512865
expasy:alpha_helixfasman,0.013108000816030115
z_coord,0.00471886019914625
x_coord,-0.0036463752255016216
y_coord,-0.002504842854858583
